ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,LSTM,HybridForecast
2011-12-10 12:50:00,268.51914703638784,-129.02795399926205,544.857983581243,268.51914703638784,268.51914703638784,-52.75366083381967,-52.75366083381967,-52.75366083381967,-38.59737760226634,-38.59737760226634,-38.59737760226634,-14.156283231553328,-14.156283231553328,-14.156283231553328,0.0,0.0,0.0,215.76548620256816,255.0259055845514,235.39569589355978
2011-12-11 12:50:00,268.5255187118822,-66.01286093695262,602.4872536166963,268.5255187118822,268.5255187118822,-18.92449026949886,-18.92449026949886,-18.92449026949886,-3.7969529627602903,-3.7969529627602903,-3.7969529627602903,-15.12753730673857,-15.12753730673857,-15.12753730673857,0.0,0.0,0.0,249.60102844238335,255.28387830248477,252.44245337243404
2011-12-12 12:50:00,268.5318903873767,-69.10275951554782,588.2403248862205,268.5318903873767,268.5318903873767,5.666632661980437,5.666632661980437,5.666632661980437,21.65658382260216,21.65658382260216,21.65658382260216,-15.989951160621722,-15.989951160621722,-15.989951160621722,0.0,0.0,0.0,274.1985230493571,255.4288890134245,264.8137060313908
2011-12-13 12:50:00,268.5382620628711,-91.83172741769545,572.2807204138804,268.5382620628711,268.5382620628711,-8.106154146902819,-8.106154146902819,-8.106154146902819,8.625424526770903,8.625424526770903,8.625424526770903,-16.73157867367372,-16.73157867367372,-16.73157867367372,0.0,0.0,0.0,260.4321079159683,255.53840341011437,257.98525566304136
2011-12-14 12:50:00,268.5446337383656,-71.45863201444617,606.4911141108335,268.5446337383656,268.5446337383656,-12.441211921563337,-12.441211921563337,-12.441211921563337,4.899170919527316,4.899170919527316,4.899170919527316,-17.340382841090655,-17.340382841090655,-17.340382841090655,0.0,0.0,0.0,256.1034218168022,255.6172762907371,255.86034905376965
2011-12-15 12:50:00,268.55100541386,-75.37251233737229,612.3587208768379,268.5494370727127,268.55100541386,-12.22973656412687,-12.22973656412687,-12.22973656412687,5.574775564089634,5.574775564089634,5.574775564089634,-17.804512128216505,-17.804512128216505,-17.804512128216505,0.0,0.0,0.0,256.32126884973314,255.6712419459,255.99625539781658
2011-12-16 12:50:00,268.5573770893544,-102.08942654991324,588.5731893579938,268.54845110601025,268.55857649737254,-16.474235522226866,-16.474235522226866,-16.474235522226866,1.6383757320204106,1.6383757320204106,1.6383757320204106,-18.11261125424728,-18.11261125424728,-18.11261125424728,0.0,0.0,0.0,252.08314156712757,255.707424264241,253.89528291568428
2011-12-17 12:50:00,268.56374876484887,-119.24743257245376,553.7768475471272,268.54796011202905,268.5696969126815,-56.851536511276215,-56.851536511276215,-56.851536511276215,-38.59737760226427,-38.59737760226427,-38.59737760226427,-18.25415890901195,-18.25415890901195,-18.25415890901195,0.0,0.0,0.0,211.71221225357263,255.73148717697336,233.72184971527298
2011-12-18 12:50:00,268.57012044034326,-92.8668758731678,612.7078117016274,268.54595329090614,268.5799795058871,-22.016776519100876,-22.016776519100876,-22.016776519100876,-3.7969529628247423,-3.7969529628247423,-3.7969529628247423,-18.219823556276133,-18.219823556276133,-18.219823556276133,0.0,0.0,0.0,246.5533439212424,255.7474411695525,251.15039254539744
2011-12-19 12:50:00,268.5764921158377,-60.6811834135641,618.976102163565,268.5418554123538,268.5936452259182,3.654756469168415,3.654756469168415,3.654756469168415,21.65658382256882,21.65658382256882,21.65658382256882,-18.001827353400408,-18.001827353400408,-18.001827353400408,0.0,0.0,0.0,272.23124858500614,255.7580302583426,263.9946394216744
2011-12-20 12:50:00,268.58286379133216,-58.66190038904458,587.5422450318573,268.5385305775983,268.6089167668584,-8.968882836146129,-8.968882836146129,-8.968882836146129,8.625424526742217,8.625424526742217,8.625424526742217,-17.594307362888344,-17.594307362888344,-17.594307362888344,0.0,0.0,0.0,259.61398095518604,255.76503101804107,257.68950598661354
2011-12-21 12:50:00,268.5892354668266,-91.69968083686646,579.0040933376993,268.53361122215006,268.6232064937135,-12.094491761572304,-12.094491761572304,-12.094491761572304,4.899170919501287,4.899170919501287,4.899170919501287,-16.99366268107359,-16.99366268107359,-16.99366268107359,0.0,0.0,0.0,256.4947437052543,255.7696923278905,256.1322180165724
2011-12-22 12:50:00,268.59560714232106,-78.00594503433933,582.9338561179457,268.5200005352657,268.6383466939965,-10.624100324662043,-10.624100324662043,-10.624100324662043,5.574775564087363,5.574775564087363,5.574775564087363,-16.19887588874941,-16.19887588874941,-16.19887588874941,0.0,0.0,0.0,257.971506817659,255.77277055137603,256.8721386845175
2011-12-23 12:50:00,268.60197881781545,-68.3003129426381,590.159171324251,268.51283476964306,268.66393098052225,-13.573421623064675,-13.573421623064675,-13.573421623064675,1.638375732064666,1.638375732064666,1.638375732064666,-15.211797355129344,-15.211797355129344,-15.211797355129344,0.0,0.0,0.0,255.0285571947508,255.7747933839522,255.4016752893515
2011-12-24 12:50:00,268.6083504933099,-114.56092414121484,548.9117336709236,268.5004239987334,268.68808275248347,-52.63475900869245,-52.63475900869245,-52.63475900869245,-38.59737760224417,-38.59737760224417,-38.59737760224417,-14.037381406448276,-14.037381406448276,-14.037381406448276,0.0,0.0,0.0,215.97359148461743,255.77614780228583,235.87486964345163
2011-12-25 12:50:00,268.6147221688043,-84.4911951627245,594.1585411226009,268.4918913145175,268.70892990881526,-16.480817163126986,-16.480817163126986,-16.480817163126986,-3.7969529627612464,-3.7969529627612464,-3.7969529627612464,-12.68386420036574,-12.68386420036574,-12.68386420036574,0.0,0.0,0.0,252.1339050056773,255.77706247440724,253.95548374004227
2011-12-26 12:50:00,268.62109384429874,-60.73959958900327,599.868389709923,268.48918120383183,268.7286613084095,10.493709509283857,10.493709509283857,10.493709509283857,21.656583822586988,21.656583822586988,21.656583822586988,-11.16287431330313,-11.16287431330313,-11.16287431330313,0.0,0.0,0.0,279.1148033535826,255.77767811910437,267.4462407363435
2011-12-27 12:50:00,268.6274655197932,-81.39682401331204,592.4434239069443,268.47467189634546,268.74529283645,-0.8640439980413676,-0.8640439980413676,-0.8640439980413676,8.625424526764732,8.625424526764732,8.625424526764732,-9.4894685248061,-9.4894685248061,-9.4894685248061,0.0,0.0,0.0,267.7634215217518,255.7780650957711,261.77074330876144
